PassengerId,Survived
892,0.131
893,0.21
894,0.63
895,0.68
896,0.61
897,0.11833333333333332
898,0.19
899,0.1
900,0.93
901,0.03
902,0.01
903,0.11428571428571428
904,1.0
905,0.3
906,1.0
907,0.96
908,0.027499999999999997
909,0.65
910,0.7
911,0.25
912,0.51
913,0.7240000000000001
914,1.0
915,0.49
916,0.95
917,0.01
918,1.0
919,0.61
920,0.7216666666666666
921,0.04
922,0.0
923,0.06
924,0.79
925,0.1
926,0.5526666666666666
927,0.42
928,0.1
929,0.05
930,0.02
931,0.6645238095238095
932,0.29
933,0.4661666666666667
934,0.11
935,1.0
936,1.0
937,0.01
938,0.3568333333333333
939,0.13467446090201507
940,1.0
941,0.72
942,0.54
943,0.23
944,0.91
945,0.92
946,0.31
947,0.03
948,0.0
949,0.0
950,0.02
951,1.0
952,0.04833333333333333
953,0.4970238095238095
954,0.002727272727272727
955,0.86
956,0.69
957,0.94
958,0.84
959,0.0
960,0.15
961,0.94
962,0.706159951159951
963,0.01
964,0.23
965,0.42
966,1.0
967,0.25
968,0.01
969,0.6
970,0.02
971,0.706159951159951
972,0.95
973,0.24
974,0.33
975,0.01
976,0.0425
977,0.07
978,0.97
979,0.45
980,0.366401431901432
981,0.98
982,0.38
983,0.2718055555555555
984,0.83
985,0.01
986,0.425
987,0.15933333333333333
988,0.99
989,0.23833333333333337
990,0.51
991,0.22
992,0.99
993,0.02
994,0.13467446090201507
995,0.09583333333333334
996,0.73
997,0.04
998,0.15555555555555556
999,0.13467446090201507
1000,0.35
1001,0.0
1002,0.15366666666666665
1003,0.413654761904762
1004,1.0
1005,0.66
1006,0.97
1007,0.31
1008,0.01
1009,0.85
1010,0.25
1011,1.0
1012,0.97
1013,0.05459232434232433
1014,1.0
1015,0.07
1016,0.13467446090201507
1017,0.6
1018,0.19
1019,0.73
1020,0.47163095238095243
1021,0.0
1022,0.6558333333333333
1023,0.39
1024,0.02
1025,0.01
1026,0.11
1027,0.0
1028,0.13
1029,0.0
1030,0.06
1031,0.1
1032,0.03
1033,0.86
1034,0.31
1035,0.0
1036,0.7189999999999999
1037,0.29
1038,0.02
1039,0.0
1040,0.4661666666666667
1041,0.09
1042,1.0
1043,0.2211666666666666
1044,0.12
1045,0.65
1046,0.03
1047,0.06
1048,1.0
1049,0.44
1050,0.7189999999999999
1051,0.6233333333333334
1052,0.47600000000000003
1053,0.86
1054,0.8183333333333332
1055,0.07
1056,0.3436309523809523
1057,0.45
1058,0.45
1059,0.03
1060,0.98
1061,0.07
1062,0.011000000000000001
1063,0.2
1064,0.02
1065,0.04258730158730159
1066,0.04
1067,1.0
1068,1.0
1069,0.56
1070,0.99
1071,0.99
1072,0.02
1073,0.36
1074,1.0
1075,0.13467446090201507
1076,0.92
1077,0.002
1078,0.88
1079,0.5258333333333334
1080,0.0
1081,0.05366666666666667
1082,0.05
1083,0.085
1084,0.42
1085,0.33
1086,0.81
1087,0.23
1088,0.89
1089,0.26
1090,0.0
1091,0.1
1092,0.72
1093,0.96
1094,0.26
1095,0.93
1096,0.01
1097,0.045
1098,0.23948809523809522
1099,0.0
1100,0.98
1101,0.0
1102,0.3041666666666667
1103,0.01
1104,0.12
1105,0.45
1106,0.27
1107,0.16
1108,0.51
1109,0.33
1110,0.96
1111,0.01
1112,0.96
1113,0.005
1114,0.9658333333333334
1115,0.63
1116,0.87
1117,0.44211904761904763
1118,0.05
1119,0.366401431901432
1120,0.01
1121,0.03916666666666666
1122,0.13
1123,0.99
1124,0.09166666666666666
1125,0.027742424242424246
1126,0.51
1127,0.0
1128,0.45
1129,0.66
1130,0.8266666666666665
1131,1.0
1132,0.83
1133,0.95
1134,0.37
1135,0.01
1136,0.03
1137,0.26
1138,0.86
1139,0.051666666666666666
1140,1.0
1141,0.12
1142,0.66
1143,0.1
1144,0.4
1145,0.0
1146,0.25333333333333335
1147,0.011000000000000001
1148,0.13467446090201507
1149,0.02
1150,0.8866666666666666
1151,0.15166666666666667
1152,0.0
1153,0.01
1154,0.98
1155,0.89
1156,0.37342857142857144
1157,0.01
1158,0.0
1159,0.011000000000000001
1160,0.1
1161,0.0
1162,0.2
1163,0.13467446090201507
1164,0.94
1165,0.78
1166,0.0
1167,0.95
1168,0.01
1169,0.0
1170,0.02
1171,0.028333333333333332
1172,0.03
1173,0.97
1174,0.366401431901432
1175,0.25666666666666665
1176,0.65
1177,0.0
1178,0.01
1179,0.27
1180,0.04258730158730159
1181,0.01
1182,0.07
1183,0.18
1184,0.04258730158730159
1185,0.1
1186,0.085
1187,0.0
1188,0.61
1189,0.04
1190,0.02
1191,0.08650000000000001
1192,0.29083333333333333
1193,0.17
1194,0.06866666666666667
1195,0.03
1196,0.366401431901432
1197,0.85
1198,0.39
1199,0.96
1200,0.26
1201,0.08
1202,0.04
1203,0.61
1204,0.011000000000000001
1205,0.19258333333333333
1206,1.0
1207,0.92
1208,0.47
1209,0.37892857142857145
1210,0.21
1211,0.03
1212,0.09583333333333334
1213,0.06450505050505051
1214,0.0
1215,0.8716666666666667
1216,1.0
1217,0.01
1218,1.0
1219,0.1
1220,0.126
1221,0.0
1222,0.96
1223,0.425
1224,0.0
1225,0.6083333333333333
1226,0.15
1227,0.085
1228,0.6095238095238095
1229,0.11730158730158731
1230,0.15
1231,0.04258730158730159
1232,0.22821428571428573
1233,0.175
1234,0.16273809523809527
1235,0.99
1236,0.06
1237,0.75
1238,0.0
1239,0.28
1240,0.0
1241,0.94
1242,1.0
1243,0.01
1244,0.04
1245,0.17666666666666667
1246,0.75
1247,0.34
1248,0.99
1249,0.01
1250,0.13467446090201507
1251,0.91
1252,0.07
1253,1.0
1254,0.94
1255,0.68
1256,0.96
1257,0.32
1258,0.05
1259,0.22
1260,1.0
1261,0.74
1262,0.013333333333333332
1263,1.0
1264,0.21
1265,0.3416309523809523
1266,1.0
1267,1.0
1268,0.12
1269,0.003333333333333333
1270,0.09
1271,0.21
1272,0.13467446090201507
1273,0.012222222222222221
1274,0.55
1275,0.41
1276,0.01
1277,1.0
1278,0.1175
1279,0.023333333333333334
1280,0.07945221445221444
1281,0.12
1282,0.28
1283,0.95
1284,0.27
1285,0.05
1286,0.09
1287,1.0
1288,0.17
1289,1.0
1290,0.07416666666666667
1291,0.03
1292,0.98
1293,0.0
1294,1.0
1295,0.36
1296,0.29
1297,0.67
1298,0.0275
1299,0.21
1300,0.47600000000000003
1301,0.69
1302,0.366401431901432
1303,1.0
1304,0.32861111111111113
1305,0.01
1306,1.0
1307,0.005
1308,0.01
1309,0.34
